Receiver;sa
Date/Time;10-02-2021 01-54-13 P. M.
RFUnit;dB
Owner;s
ScanCity;col
ScanComment;
ScanCountry;colm
ScanDescription;nada
ScanInteriorExterior;Indoor with low isolation
ScanLatitude;
ScanLongitude;
ScanName;Scan
ScanPostalCode;20123

Frequency Range [kHz];470200;713800;25
Frequency;RF level (%);RF level
470200;;47
470225;;47
470250;;47
470275;;47
470300;;47
470325;;47
470350;;47
470375;;47
470400;;47
470425;;47
470450;;47
470475;;47
470500;;47
470525;;47
470550;;47
470575;;47
470600;;47
470625;;47
470650;;47
470675;;47
470700;;47
470725;;47
470750;;47
470775;;47
470800;;47
470825;;47
470850;;47
470875;;47
470900;;47
470925;;47
470950;;47
470975;;47
471000;;47
471025;;47
471050;;47
471075;;47
471100;;47
471125;;47
471150;;47
471175;;47
471200;;47
471225;;47
471250;;47
471275;;47
471300;;47
471325;;47
471350;;47
471375;;47
471400;;46
471425;;47
471450;;47
471475;;47
471500;;47
471525;;47
471550;;47
471575;;47
471600;;47
471625;;47
471650;;47
471675;;47
471700;;47
471725;;47
471750;;47
471775;;47
471800;;47
471825;;47
471850;;47
471875;;47
471900;;47
471925;;47
471950;;47
471975;;47
472000;;47
472025;;47
472050;;47
472075;;47
472100;;47
472125;;47
472150;;47
472175;;47
472200;;47
472225;;47
472250;;47
472275;;47
472300;;47
472325;;47
472350;;47
472375;;47
472400;;47
472425;;47
472450;;47
472475;;47
472500;;47
472525;;47
472550;;47
472575;;47
472600;;47
472625;;47
472650;;47
472675;;47
472700;;47
472725;;47
472750;;47
472775;;47
472800;;47
472825;;47
472850;;47
472875;;47
472900;;47
472925;;47
472950;;47
472975;;47
473000;;47
473025;;47
473050;;47
473075;;47
473100;;47
473125;;47
473150;;47
473175;;47
473200;;47
473225;;47
473250;;47
473275;;47
473300;;47
473325;;47
473350;;47
473375;;47
473400;;47
473425;;47
473450;;47
473475;;47
473500;;47
473525;;47
473550;;47
473575;;47
473600;;47
473625;;47
473650;;47
473675;;47
473700;;47
473725;;47
473750;;47
473775;;47
473800;;47
473825;;47
473850;;47
473875;;47
473900;;47
473925;;47
473950;;47
473975;;47
474000;;47
474025;;47
474050;;47
474075;;47
474100;;47
474125;;47
474150;;47
474175;;47
474200;;47
474225;;46
474250;;46
474275;;46
474300;;46
474325;;46
474350;;46
474375;;46
474400;;47
474425;;47
474450;;47
474475;;47
474500;;47
474525;;47
474550;;47
474575;;47
474600;;47
474625;;47
474650;;47
474675;;47
474700;;47
474725;;47
474750;;47
474775;;47
474800;;47
474825;;47
474850;;47
474875;;47
474900;;47
474925;;47
474950;;47
474975;;47
475000;;47
475025;;47
475050;;47
475075;;47
475100;;47
475125;;47
475150;;47
475175;;47
475200;;47
475225;;47
475250;;47
475275;;47
475300;;47
475325;;47
475350;;47
475375;;47
475400;;47
475425;;47
475450;;47
475475;;47
475500;;47
475525;;47
475550;;47
475575;;47
475600;;47
475625;;47
475650;;47
475675;;46
475700;;46
475725;;46
475750;;46
475775;;46
475800;;45
475825;;45
475850;;45
475875;;44
475900;;43
475925;;41
475950;;39
475975;;34
476000;;22
476025;;33
476050;;38
476075;;40
476100;;42
476125;;44
476150;;45
476175;;46
476200;;46
476225;;46
476250;;46
476275;;46
476300;;46
476325;;46
476350;;46
476375;;46
476400;;46
476425;;46
476450;;46
476475;;47
476500;;47
476525;;47
476550;;47
476575;;47
476600;;47
476625;;47
476650;;47
476675;;47
476700;;47
476725;;47
476750;;47
476775;;47
476800;;47
476825;;47
476850;;47
476875;;47
476900;;47
476925;;47
476950;;47
476975;;47
477000;;47
477025;;47
477050;;47
477075;;47
477100;;47
477125;;47
477150;;47
477175;;47
477200;;47
477225;;47
477250;;47
477275;;47
477300;;47
477325;;47
477350;;47
477375;;47
477400;;47
477425;;47
477450;;47
477475;;47
477500;;47
477525;;47
477550;;47
477575;;47
477600;;47
477625;;47
477650;;47
477675;;47
477700;;47
477725;;47
477750;;47
477775;;47
477800;;47
477825;;47
477850;;47
477875;;47
477900;;47
477925;;47
477950;;47
477975;;47
478000;;47
478025;;47
478050;;47
478075;;47
478100;;47
478125;;47
478150;;47
478175;;47
478200;;47
478225;;47
478250;;47
478275;;47
478300;;47
478325;;47
478350;;47
478375;;47
478400;;47
478425;;47
478450;;47
478475;;47
478500;;47
478525;;47
478550;;47
478575;;47
478600;;47
478625;;47
478650;;47
478675;;47
478700;;47
478725;;47
478750;;47
478775;;47
478800;;47
478825;;47
478850;;47
478875;;47
478900;;47
478925;;47
478950;;47
478975;;47
479000;;47
479025;;47
479050;;47
479075;;47
479100;;47
479125;;47
479150;;47
479175;;47
479200;;47
479225;;47
479250;;47
479275;;47
479300;;47
479325;;47
479350;;47
479375;;47
479400;;47
479425;;47
479450;;47
479475;;47
479500;;47
479525;;47
479550;;47
479575;;47
479600;;47
479625;;47
479650;;47
479675;;47
479700;;47
479725;;47
479750;;47
479775;;47
479800;;47
479825;;47
479850;;47
479875;;47
479900;;47
479925;;47
479950;;47
479975;;47
480000;;47
480025;;47
480050;;47
480075;;47
480100;;47
480125;;47
480150;;47
480175;;47
480200;;47
480225;;47
480250;;47
480275;;47
480300;;47
480325;;47
480350;;47
480375;;47
480400;;47
480425;;47
480450;;47
480475;;47
480500;;47
480525;;47
480550;;47
480575;;47
480600;;47
480625;;47
480650;;47
480675;;47
480700;;47
480725;;47
480750;;47
480775;;47
480800;;47
480825;;47
480850;;47
480875;;47
480900;;47
480925;;47
480950;;47
480975;;47
481000;;47
481025;;47
481050;;47
481075;;47
481100;;47
481125;;47
481150;;47
481175;;47
481200;;47
481225;;47
481250;;47
481275;;47
481300;;47
481325;;47
481350;;47
481375;;47
481400;;47
481425;;47
481450;;47
481475;;47
481500;;47
481525;;47
481550;;47
481575;;47
481600;;47
481625;;47
481650;;47
481675;;47
481700;;47
481725;;47
481750;;47
481775;;47
481800;;47
481825;;47
481850;;47
481875;;47
481900;;47
481925;;46
481950;;43
481975;;38
482000;;29
482025;;42
482050;;44
482075;;47
482100;;47
482125;;47
482150;;47
482175;;47
482200;;47
482225;;47
482250;;47
482275;;47
482300;;47
482325;;47
482350;;47
482375;;47
482400;;47
482425;;47
482450;;47
482475;;47
482500;;47
482525;;47
482550;;47
482575;;47
482600;;47
482625;;47
482650;;47
482675;;47
482700;;47
482725;;47
482750;;47
482775;;47
482800;;47
482825;;47
482850;;47
482875;;47
482900;;47
482925;;47
482950;;47
482975;;47
483000;;47
483025;;47
483050;;47
483075;;47
483100;;47
483125;;47
483150;;47
483175;;47
483200;;47
483225;;47
483250;;47
483275;;47
483300;;47
483325;;47
483350;;47
483375;;47
483400;;47
483425;;47
483450;;47
483475;;47
483500;;47
483525;;47
483550;;47
483575;;47
483600;;47
483625;;47
483650;;47
483675;;47
483700;;47
483725;;47
483750;;47
483775;;47
483800;;47
483825;;47
483850;;47
483875;;47
483900;;47
483925;;47
483950;;47
483975;;47
484000;;47
484025;;47
484050;;47
484075;;47
484100;;47
484125;;47
484150;;47
484175;;47
484200;;47
484225;;47
484250;;47
484275;;47
484300;;47
484325;;47
484350;;47
484375;;47
484400;;47
484425;;47
484450;;47
484475;;47
484500;;47
484525;;47
484550;;47
484575;;47
484600;;47
484625;;47
484650;;47
484675;;47
484700;;47
484725;;47
484750;;47
484775;;47
484800;;47
484825;;47
484850;;47
484875;;47
484900;;47
484925;;47
484950;;47
484975;;47
485000;;47
485025;;47
485050;;47
485075;;47
485100;;47
485125;;47
485150;;47
485175;;47
485200;;47
485225;;47
485250;;47
485275;;47
485300;;47
485325;;47
485350;;47
485375;;47
485400;;47
485425;;47
485450;;47
485475;;47
485500;;47
485525;;47
485550;;47
485575;;47
485600;;47
485625;;47
485650;;47
485675;;47
485700;;47
485725;;47
485750;;47
485775;;47
485800;;47
485825;;47
485850;;47
485875;;47
485900;;47
485925;;47
485950;;47
485975;;47
486000;;47
486025;;47
486050;;47
486075;;47
486100;;47
486125;;47
486150;;47
486175;;47
486200;;47
486225;;47
486250;;47
486275;;47
486300;;47
486325;;47
486350;;47
486375;;47
486400;;47
486425;;47
486450;;47
486475;;47
486500;;47
486525;;47
486550;;47
486575;;47
486600;;47
486625;;47
486650;;47
486675;;47
486700;;47
486725;;47
486750;;47
486775;;47
486800;;47
486825;;47
486850;;47
486875;;47
486900;;47
486925;;47
486950;;47
486975;;47
487000;;47
487025;;47
487050;;47
487075;;47
487100;;47
487125;;47
487150;;47
487175;;47
487200;;47
487225;;47
487250;;47
487275;;47
487300;;47
487325;;47
487350;;47
487375;;47
487400;;47
487425;;47
487450;;47
487475;;47
487500;;47
487525;;47
487550;;47
487575;;47
487600;;47
487625;;47
487650;;47
487675;;47
487700;;47
487725;;47
487750;;47
487775;;47
487800;;47
487825;;47
487850;;47
487875;;47
487900;;47
487925;;45
487950;;44
487975;;39
488000;;25
488025;;15
488050;;12
488075;;11
488100;;10
488125;;9
488150;;7
488175;;6
